feature,coef,intercept
ЕДА :: Молочное,-0.2533636881808023,1.1656055859745043
ЕДА :: Мучное пшеница,-0.20599963121470685,1.1656055859745043
ЕДА :: Сладость (старое),-0.021864784066918958,1.1656055859745043
ЕДА :: Жирная Вред Еда,0.06473402025025811,1.1656055859745043
ПНК :: Диарея,0.29712338382270653,1.1656055859745043
ПНК :: Головокружение,-0.05112158030276243,1.1656055859745043
ПНК :: Мешает работать,0.7128819050956485,1.1656055859745043
ПНК :: Тошнота,-0.018831066412443587,1.1656055859745043
ПСХ :: Слабость вялость,-0.3799038643667936,1.1656055859745043
ПСХ :: Выпад из колеи,0.06752707587772278,1.1656055859745043
СОН :: Яркие сны,0.032834109865549375,1.1656055859745043
ЖВТ :: Дискомфорт в животе,-0.2578182035909469,1.1656055859745043
ЖВТ :: Газы,-0.17863597176995116,1.1656055859745043
ЖВТ :: Кал,-0.39882510286341366,1.1656055859745043
ЖВТ :: Вздутие,0.2705850860752472,1.1656055859745043
