feature,coef,intercept
ЕДА :: Молочное,0.010471347270892262,0.46123375169403674
ЕДА :: Мучное пшеница,-0.009104558921575467,0.46123375169403674
ЕДА :: Сладость (старое),-0.19884050645645174,0.46123375169403674
ЕДА :: Жирная Вред Еда,0.05595060487294438,0.46123375169403674
ПНК :: Головокружение,0.08665626606317073,0.46123375169403674
ПНК :: Мешает работать,-0.07408966813965377,0.46123375169403674
ПНК :: Тошнота,0.3221915176106162,0.46123375169403674
ПСХ :: Слабость вялость,-0.029355614464255476,0.46123375169403674
ПСХ :: Выпад из колеи,-0.25614554510582627,0.46123375169403674
СОН :: Яркие сны,0.1894905138569552,0.46123375169403674
ЖВТ :: Дискомфорт в животе,-0.049937203285442155,0.46123375169403674
ЖВТ :: Газы,-0.06444079965327923,0.46123375169403674
ЖВТ :: Изжога,0.12974103821831298,0.46123375169403674
ЖВТ :: Кал,0.7246022675318133,0.46123375169403674
ЖВТ :: Вздутие,-0.05549395214968117,0.46123375169403674
