feature,coef,intercept
ЕДА :: Молочное,0.014498077227506687,0.45501451820889877
ЕДА :: Мучное пшеница,-0.07682600757932001,0.45501451820889877
ЕДА :: Сладость (старое),-0.10379836904866595,0.45501451820889877
ЕДА :: Жирная Вред Еда,0.11119833953645654,0.45501451820889877
ПНК :: Диарея,-0.04734906687863144,0.45501451820889877
ПНК :: Головокружение,0.15898116551705185,0.45501451820889877
ПНК :: Мешает работать,0.21537880116146021,0.45501451820889877
ПНК :: Тошнота,0.18369917092933943,0.45501451820889877
ПСХ :: Выпад из колеи,0.4269250283276838,0.45501451820889877
СОН :: Яркие сны,0.14624105049726943,0.45501451820889877
ЖВТ :: Дискомфорт в животе,-0.03604520362788059,0.45501451820889877
ЖВТ :: Газы,-0.029236508470102892,0.45501451820889877
ЖВТ :: Изжога,-0.2675681999810136,0.45501451820889877
ЖВТ :: Кал,-0.12668583632825936,0.45501451820889877
ЖВТ :: Вздутие,0.051144881072055,0.45501451820889877
