feature,coef,intercept
ЕДА :: Молочное,-0.12253354981635578,0.12770565794104094
ЕДА :: Мучное пшеница,-0.11908847805805942,0.12770565794104094
ЕДА :: Сладость (старое),-0.02404765151038506,0.12770565794104094
ЕДА :: Жирная Вред Еда,0.11326745819660747,0.12770565794104094
ПНК :: Диарея,-0.35592563408992917,0.12770565794104094
ПНК :: Головокружение,-0.36670401817420106,0.12770565794104094
ПНК :: Мешает работать,0.2040351062836799,0.12770565794104094
ПНК :: Тошнота,0.46377038791906483,0.12770565794104094
ПСХ :: Слабость вялость,0.3677933114054216,0.12770565794104094
СОН :: Яркие сны,0.26843606023668376,0.12770565794104094
ЖВТ :: Дискомфорт в животе,0.08029076738019045,0.12770565794104094
ЖВТ :: Газы,-0.026006262993010485,0.12770565794104094
ЖВТ :: Изжога,0.040972356306046065,0.12770565794104094
ЖВТ :: Кал,0.07667220258921022,0.12770565794104094
ЖВТ :: Вздутие,-0.02830921052239253,0.12770565794104094
