feature,coef,intercept
ЕДА :: Молочное,0.40865212364989884,2.235919069523557
ЕДА :: Мучное пшеница,-0.16077265376391536,2.235919069523557
ЕДА :: Жирная Вред Еда,0.3299377578247777,2.235919069523557
ПНК :: Диарея,-0.7168906725319061,2.235919069523557
ПНК :: Головокружение,0.12528604537066562,2.235919069523557
ПНК :: Мешает работать,-0.00024205102120166715,2.235919069523557
ПНК :: Тошнота,0.03117869169338141,2.235919069523557
ПСХ :: Слабость вялость,-0.2320162213336189,2.235919069523557
ПСХ :: Выпад из колеи,-0.062394782969175666,2.235919069523557
СОН :: Яркие сны,0.14287278733549963,2.235919069523557
ЖВТ :: Дискомфорт в животе,0.04368605305390431,2.235919069523557
ЖВТ :: Газы,-0.10724615202823115,2.235919069523557
ЖВТ :: Изжога,-0.03442181755214494,2.235919069523557
ЖВТ :: Кал,0.45589737257552454,2.235919069523557
ЖВТ :: Вздутие,0.029249313171788884,2.235919069523557
