feature,coef,intercept
ЕДА :: Молочное,-0.24619049675969026,1.8140921112316462
ЕДА :: Мучное пшеница,0.0740808626362391,1.8140921112316462
ЕДА :: Сладость (старое),-0.05759217616580218,1.8140921112316462
ЕДА :: Жирная Вред Еда,-0.2555185137526777,1.8140921112316462
ПНК :: Диарея,-0.12476442242145236,1.8140921112316462
ПНК :: Головокружение,0.40233150232702125,1.8140921112316462
ПНК :: Мешает работать,0.5769405731645825,1.8140921112316462
ПНК :: Тошнота,-0.3844289482667531,1.8140921112316462
ПСХ :: Слабость вялость,-0.03509417977553623,1.8140921112316462
ПСХ :: Выпад из колеи,-0.03623558934204173,1.8140921112316462
СОН :: Яркие сны,0.17118774316488042,1.8140921112316462
ЖВТ :: Дискомфорт в животе,-0.21536605158847763,1.8140921112316462
ЖВТ :: Изжога,-0.15102167848884623,1.8140921112316462
ЖВТ :: Кал,-0.08918285507143317,1.8140921112316462
ЖВТ :: Вздутие,0.4725267943975761,1.8140921112316462
