feature,coef,intercept
ЕДА :: Молочное,-0.1566270154301965,1.1202477612057524
ЕДА :: Мучное пшеница,0.15924892932052187,1.1202477612057524
ЕДА :: Сладость (старое),0.24146251101185595,1.1202477612057524
ПНК :: Диарея,0.14762861625386076,1.1202477612057524
ПНК :: Головокружение,-0.004189037258621182,1.1202477612057524
ПНК :: Мешает работать,0.547482173781395,1.1202477612057524
ПНК :: Тошнота,-0.397076481846653,1.1202477612057524
ПСХ :: Слабость вялость,0.1819046562756002,1.1202477612057524
ПСХ :: Выпад из колеи,0.21507922228286108,1.1202477612057524
СОН :: Яркие сны,-0.05387279692776475,1.1202477612057524
ЖВТ :: Дискомфорт в животе,-0.24987743652321776,1.1202477612057524
ЖВТ :: Газы,-0.3482236764177993,1.1202477612057524
ЖВТ :: Изжога,0.0745828335284699,1.1202477612057524
ЖВТ :: Кал,-0.3188197859309961,1.1202477612057524
ЖВТ :: Вздутие,0.2174243658499699,1.1202477612057524
