feature,coef,intercept
ЕДА :: Молочное,0.3796282872575411,2.4131303746359727
ЕДА :: Сладость (старое),-0.11530962285795897,2.4131303746359727
ЕДА :: Жирная Вред Еда,0.15606740113897227,2.4131303746359727
ПНК :: Диарея,-0.023542921325013375,2.4131303746359727
ПНК :: Головокружение,-1.131660883591397,2.4131303746359727
ПНК :: Мешает работать,0.024111816938877876,2.4131303746359727
ПНК :: Тошнота,0.5047926012124564,2.4131303746359727
ПСХ :: Слабость вялость,-0.12316560824245466,2.4131303746359727
ПСХ :: Выпад из колеи,-0.22161478202509788,2.4131303746359727
СОН :: Яркие сны,0.34357229577975784,2.4131303746359727
ЖВТ :: Дискомфорт в животе,0.26271333902082095,2.4131303746359727
ЖВТ :: Газы,0.09894130445532101,2.4131303746359727
ЖВТ :: Изжога,-0.23259930880419188,2.4131303746359727
ЖВТ :: Кал,-0.04005254128367469,2.4131303746359727
ЖВТ :: Вздутие,-0.14744483966519034,2.4131303746359727
