feature,coef,intercept
ЕДА :: Молочное,-0.28385187028825487,0.4134194528324818
ЕДА :: Мучное пшеница,0.1609054047521896,0.4134194528324818
ЕДА :: Сладость (старое),0.019190429202296973,0.4134194528324818
ЕДА :: Жирная Вред Еда,-0.1499861741103622,0.4134194528324818
ПНК :: Диарея,-0.07908865038392537,0.4134194528324818
ПНК :: Головокружение,-0.19147748863425937,0.4134194528324818
ПНК :: Мешает работать,0.5267793802047513,0.4134194528324818
ПНК :: Тошнота,0.6054906139766466,0.4134194528324818
ПСХ :: Слабость вялость,-0.035392984209729035,0.4134194528324818
ПСХ :: Выпад из колеи,0.09151306404278643,0.4134194528324818
СОН :: Яркие сны,-0.314846193636327,0.4134194528324818
ЖВТ :: Газы,-0.17617219073002333,0.4134194528324818
ЖВТ :: Изжога,-0.17829701109195042,0.4134194528324818
ЖВТ :: Кал,0.1610512029343845,0.4134194528324818
ЖВТ :: Вздутие,0.3864959105052481,0.4134194528324818
